Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
lock,95.7 ± 0.3,99.3 ± 0.1,97.0 ± 0.2,86.6 ± 0.1,42.6 ± 0.1,44.9 ± 0.1,66.0 ± 0.1,31.7 ± 2.5,19.6 ± 0.4,13.9 ± 0.9,97.9 ± 1.2,99.7 ± 0.2,99.4 ± 0.1,8.0 ± 4.0,6.7 ± 2.3,6.7 ± 2.3
long-zipper,93.5 ± 0.9,99.0 ± 0.2,95.8 ± 0.3,86.6 ± 0.2,15.4 ± 0.5,18.7 ± 1.2,81.5 ± 0.5,62.3 ± 4.9,28.9 ± 5.9,16.8 ± 4.6,97.3 ± 1.1,99.6 ± 0.1,97.9 ± 1.0,24.0 ± 14.4,14.7 ± 11.5,8.0 ± 0.0
meteor_hammer_arrowhead,84.4 ± 0.8,96.9 ± 0.2,92.6 ± 0.3,97.1 ± 0.1,63.9 ± 0.4,62.1 ± 0.2,87.4 ± 0.1,78.1 ± 2.4,67.2 ± 3.8,51.8 ± 1.0,94.8 ± 1.6,99.3 ± 0.2,96.2 ± 0.3,52.0 ± 6.9,33.3 ± 10.1,21.3 ± 14.0
miniature_laser_module,91.9 ± 0.3,98.8 ± 0.1,95.6 ± 0.2,96.3 ± 0.2,50.0 ± 0.3,53.4 ± 0.6,87.3 ± 0.5,56.1 ± 0.9,44.7 ± 2.8,33.3 ± 3.4,98.3 ± 0.1,99.8 ± 0.1,98.0 ± 0.2,21.3 ± 2.3,10.7 ± 4.6,2.7 ± 2.3
miniature_lifting_motor,78.0 ± 0.3,96.8 ± 0.1,94.0 ± 0.1,98.0 ± 0.1,78.9 ± 0.2,77.6 ± 0.2,73.2 ± 0.1,89.8 ± 0.8,83.3 ± 0.9,69.5 ± 3.6,76.7 ± 2.0,96.7 ± 0.3,94.2 ± 0.1,93.3 ± 6.1,86.7 ± 6.1,70.7 ± 4.6
miniature_motor,89.1 ± 2.0,98.4 ± 0.3,95.6 ± 0.6,97.0 ± 1.2,58.4 ± 6.7,57.3 ± 4.4,82.7 ± 1.7,58.8 ± 10.2,47.4 ± 10.6,33.3 ± 7.2,94.8 ± 2.2,99.3 ± 0.3,97.1 ± 1.1,34.7 ± 19.7,22.2 ± 8.7,15.3 ± 6.4
miniature_stepper_motor,94.7 ± 0.6,99.3 ± 0.1,95.9 ± 0.1,92.8 ± 0.1,63.1 ± 0.5,60.4 ± 0.3,72.2 ± 0.3,56.0 ± 0.8,33.1 ± 4.4,20.3 ± 4.1,99.1 ± 0.2,99.9 ± 0.1,98.9 ± 0.2,5.3 ± 2.3,2.7 ± 2.3,2.7 ± 2.3
mobile_charging_connector,92.6 ± 0.5,98.9 ± 0.1,96.4 ± 0.2,98.2 ± 0.0,81.8 ± 0.1,76.2 ± 0.1,87.8 ± 0.2,46.1 ± 3.2,30.4 ± 4.5,24.8 ± 0.8,94.2 ± 1.3,99.1 ± 0.2,96.7 ± 0.4,42.7 ± 10.1,24.0 ± 6.9,21.3 ± 6.1
model_steering_module,90.7 ± 0.5,98.2 ± 0.2,93.8 ± 0.5,99.1 ± 0.1,57.7 ± 0.1,62.5 ± 0.7,89.5 ± 0.3,65.7 ± 5.1,47.4 ± 2.4,30.8 ± 2.4,90.7 ± 0.4,98.7 ± 0.1,96.0 ± 0.9,54.7 ± 12.2,45.3 ± 9.2,34.7 ± 2.3
monitor_socket,92.2 ± 0.3,98.9 ± 0.1,95.7 ± 0.1,98.6 ± 0.0,76.7 ± 0.1,68.7 ± 0.1,90.3 ± 0.1,54.7 ± 2.1,39.3 ± 0.4,25.2 ± 1.8,91.3 ± 0.5,98.7 ± 0.1,96.1 ± 0.2,49.3 ± 2.3,38.7 ± 2.3,33.3 ± 6.1
motor_bracket,87.6 ± 1.2,98.2 ± 0.2,94.3 ± 0.1,96.4 ± 0.1,74.8 ± 0.8,70.9 ± 0.9,78.8 ± 0.5,80.6 ± 3.2,60.9 ± 5.3,45.7 ± 4.8,93.5 ± 1.0,99.1 ± 0.2,96.1 ± 0.4,53.3 ± 8.3,33.3 ± 2.3,18.7 ± 4.6
motor_gear_reducer,78.7 ± 0.5,96.4 ± 0.1,93.8 ± 0.0,81.6 ± 0.3,17.0 ± 0.3,25.4 ± 0.2,65.6 ± 0.1,86.7 ± 1.6,74.7 ± 1.1,64.2 ± 1.7,78.3 ± 1.5,96.5 ± 0.3,94.2 ± 0.1,90.7 ± 6.1,69.3 ± 4.6,54.7 ± 6.1
motor_plug,94.4 ± 0.9,99.2 ± 0.1,96.6 ± 0.1,98.4 ± 0.1,82.6 ± 0.2,76.9 ± 0.4,92.2 ± 0.1,39.7 ± 0.5,29.5 ± 2.5,19.5 ± 4.2,99.8 ± 0.1,100.0 ± 0.1,99.4 ± 0.1,2.7 ± 2.3,0.0 ± 0.0,0.0 ± 0.0
mouse_socket,87.6 ± 1.0,97.6 ± 0.2,92.4 ± 0.3,98.5 ± 0.1,66.0 ± 0.5,63.7 ± 0.3,79.0 ± 0.2,83.0 ± 5.4,67.0 ± 6.6,48.7 ± 6.8,87.8 ± 1.1,98.2 ± 0.3,94.8 ± 0.1,81.3 ± 9.2,50.7 ± 8.3,34.7 ± 6.1
multi_function_switch,98.8 ± 0.2,99.8 ± 0.1,98.4 ± 0.1,85.1 ± 0.1,50.5 ± 0.3,55.3 ± 0.3,74.5 ± 0.1,12.3 ± 1.2,6.7 ± 1.7,2.7 ± 0.5,99.8 ± 0.1,100.0 ± 0.0,99.8 ± 0.0,2.7 ± 2.3,0.0 ± 0.0,0.0 ± 0.0
nylon_ball_head,92.6 ± 0.6,98.9 ± 0.1,96.3 ± 0.1,93.1 ± 0.0,65.9 ± 0.4,66.5 ± 0.5,78.0 ± 0.2,46.1 ± 2.0,35.2 ± 3.5,21.1 ± 3.6,92.1 ± 0.7,98.8 ± 0.2,97.6 ± 0.3,32.0 ± 4.0,29.3 ± 2.3,22.7 ± 2.3
optical_fiber_outlet,95.6 ± 0.3,99.4 ± 0.0,96.3 ± 0.1,98.9 ± 0.1,82.6 ± 0.6,77.3 ± 0.7,91.5 ± 0.3,49.9 ± 4.3,23.6 ± 2.1,12.9 ± 2.3,96.9 ± 0.5,99.6 ± 0.1,97.4 ± 0.1,34.7 ± 8.3,13.3 ± 2.3,12.0 ± 0.0
pencil_sharpener,91.6 ± 0.4,98.7 ± 0.1,95.3 ± 0.1,98.7 ± 0.1,62.6 ± 0.1,58.9 ± 0.4,87.7 ± 0.4,57.6 ± 0.9,38.2 ± 2.0,26.2 ± 2.4,95.3 ± 0.3,99.4 ± 0.1,96.9 ± 0.2,38.7 ± 4.6,24.0 ± 0.0,14.7 ± 2.3
pinboard_connector,87.7 ± 0.4,98.4 ± 0.1,94.1 ± 0.0,85.5 ± 0.5,28.0 ± 0.3,31.7 ± 0.1,82.7 ± 0.5,97.9 ± 0.9,71.7 ± 2.8,42.7 ± 2.8,86.9 ± 1.2,98.2 ± 0.2,95.5 ± 0.0,72.0 ± 4.0,61.3 ± 2.3,56.0 ± 4.0
pitch_connector,91.1 ± 0.5,98.5 ± 0.1,93.5 ± 0.2,92.1 ± 0.1,73.5 ± 0.1,71.7 ± 0.2,86.0 ± 0.5,73.1 ± 3.6,56.6 ± 1.7,35.1 ± 4.7,91.2 ± 1.6,98.9 ± 0.2,94.8 ± 0.4,72.0 ± 6.9,54.7 ± 10.1,36.0 ± 10.6
pneumatic_elbow,85.0 ± 1.7,97.7 ± 0.3,95.1 ± 0.1,92.2 ± 0.4,66.9 ± 2.5,65.1 ± 2.3,66.8 ± 2.0,66.4 ± 1.4,50.8 ± 1.3,40.9 ± 4.0,87.7 ± 3.5,98.3 ± 0.5,95.1 ± 0.1,76.0 ± 4.0,60.0 ± 12.0,42.7 ± 11.5
pot_core,95.9 ± 0.1,99.4 ± 0.0,97.5 ± 0.1,92.1 ± 0.1,60.2 ± 0.2,59.2 ± 0.1,62.5 ± 0.6,26.6 ± 2.3,14.2 ± 0.4,11.9 ± 0.5,98.5 ± 0.2,99.8 ± 0.1,99.4 ± 0.1,4.0 ± 0.0,4.0 ± 0.0,4.0 ± 0.0
potentiometer,89.9 ± 5.0,97.4 ± 1.3,95.8 ± 0.4,98.6 ± 0.3,50.6 ± 5.6,48.3 ± 5.6,94.1 ± 1.5,33.5 ± 4.0,27.5 ± 8.7,23.9 ± 9.0,99.4 ± 0.3,99.9 ± 0.0,99.4 ± 0.2,5.3 ± 2.3,4.0 ± 0.0,2.7 ± 2.3
power_bank_module,91.3 ± 0.8,98.5 ± 0.2,94.7 ± 0.4,78.6 ± 0.2,37.0 ± 0.4,41.6 ± 0.3,71.4 ± 0.2,68.9 ± 1.9,42.0 ± 5.7,21.0 ± 2.6,90.5 ± 0.6,98.3 ± 0.2,98.0 ± 0.8,28.0 ± 6.9,21.3 ± 4.6,17.3 ± 2.3
power_inductor,83.1 ± 1.2,96.8 ± 0.4,94.5 ± 0.1,94.2 ± 0.1,40.2 ± 1.2,41.5 ± 1.4,75.0 ± 0.3,66.4 ± 1.2,52.2 ± 2.2,42.7 ± 3.1,88.8 ± 2.7,98.4 ± 0.4,95.3 ± 0.6,77.3 ± 16.2,46.7 ± 6.1,32.0 ± 10.6
power_jack,83.3 ± 0.3,97.2 ± 0.0,94.2 ± 0.1,89.0 ± 0.2,3.9 ± 0.1,8.6 ± 0.4,65.1 ± 0.6,79.9 ± 1.2,63.6 ± 0.9,46.9 ± 4.9,91.3 ± 1.2,98.7 ± 0.3,96.8 ± 0.5,42.7 ± 8.3,32.0 ± 0.0,32.0 ± 0.0
power_strip_socket,83.8 ± 0.2,94.8 ± 0.1,87.3 ± 0.2,97.6 ± 0.1,53.7 ± 0.3,57.7 ± 0.1,82.5 ± 0.2,87.9 ± 0.8,73.8 ± 1.1,58.5 ± 2.1,93.1 ± 0.9,98.9 ± 0.3,96.8 ± 0.3,40.0 ± 6.9,28.0 ± 4.0,17.3 ± 4.6
pulse_transformer,79.8 ± 0.3,95.3 ± 0.2,94.0 ± 0.2,87.9 ± 0.1,45.0 ± 0.5,46.2 ± 0.7,76.2 ± 0.2,77.4 ± 1.3,59.6 ± 1.1,47.4 ± 1.5,84.8 ± 1.3,97.3 ± 0.3,95.3 ± 0.2,68.0 ± 4.0,44.0 ± 6.9,34.7 ± 4.6
purple-clay-pot,97.0 ± 0.1,99.5 ± 0.0,97.6 ± 0.1,98.3 ± 0.0,74.2 ± 0.7,72.1 ± 0.1,90.3 ± 0.1,22.3 ± 0.4,13.5 ± 0.9,5.9 ± 0.0,99.0 ± 0.1,99.8 ± 0.0,99.2 ± 0.0,7.4 ± 0.0,7.4 ± 0.0,4.9 ± 2.1
